Altium Designer Pick and Place Locations
E:\aKaReZa\#gitHub\eBoard_M66\Quectel M66\Project Outputs for Quectel M66\Generates pick and place files\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       04/06/25
Time:       10:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Q1","NPN","TopLayer","SOT23_N","48.6410","57.9120","90","NPN General purpose Transistor"
"P2","UNO","TopLayer","Arduino_uno_S_3","26.5430","27.6860","0","Arduino uno slave"
"MC1","M66","TopLayer","m66","26.9240","53.3400","90","Quectel GSM/GPRS Module"
"L1","10u","TopLayer","L_7","11.5570","30.6070","90","Inductor"
"JP3","Jumper","TopLayer","RESC2012M_(0805)","17.0180","16.0020","0","Jumper Component"
"J2","U.FL","TopLayer","IPEX-3x3mm","30.2260","65.7740","270","U.FL"
"J3","6'Pin","TopLayer","GCT_SIM8051_Plastik","35.1790","28.7020","0","Nano SimCard Holder 6P"
"J1","U.FL","TopLayer","IPEX-3x3mm","20.3200","65.7740","270","U.FL"
"D3","SMF-05","BottomLayer","SC70-5_N","36.1950","28.8290","180","TVS Diode Array"
"D5","Blue","TopLayer","LED_0805/2012_BLUE","8.2550","66.1670","270","LED"
"D4","Yellow","TopLayer","LED_0805/2012_YELLOW","2.0320","66.1670","270","LED"
"D2","Value?","TopLayer","LED_0805/2012_BLUE","42.6720","66.1670","270","LED"
"D1","Value?","TopLayer","LED_0805/2012_BLUE","48.6410","66.1670","270","LED"
"C7","Value?","TopLayer","CAP_0805/2012","34.3535","38.3286","90","Bipolar ceramic capacitor SMD"
"C6","Value?","TopLayer","CAP_0805/2012","39.1160","38.3286","90","Bipolar ceramic capacitor SMD"
"C5","Value?","TopLayer","CAP_0805/2012","29.5910","38.3286","90","Bipolar ceramic capacitor SMD"
"C4","Value?","TopLayer","CAP_0805/2012","43.8404","23.1140","180","Bipolar ceramic capacitor SMD"
"C3","100n","TopLayer","CAP_0805/2012","43.8404","25.2730","180","Bipolar ceramic capacitor SMD"
"C14","100n","TopLayer","CAP_1206/3216","9.0170","22.3520","90","Bipolar ceramic capacitor SMD"
"C12","10u","TopLayer","SMT_C_Tantalum_A","11.8110","40.3860","180","Tantalum Capacitor,TAJ Series-SMD"
"C10","68p","TopLayer","CAP_0805/2012","19.9390","21.4376","90","Bipolar ceramic capacitor SMD"
"C9","10u","TopLayer","SMT_C_Tantalum_B","6.0960","22.2250","90","Tantalum Capacitor,TAJ Series-SMD"
"C8","100n","TopLayer","CAP_0805/2012","13.4874","24.3840","180","Bipolar ceramic capacitor SMD"
"C2","Value?","TopLayer","SMT_C_Tantalum_A","43.8150","27.5590","180","Tantalum Capacitor,TAJ Series-SMD"
"C17","10p","TopLayer","CAP_1206/3216","12.3190","50.5460","180","Bipolar ceramic capacitor SMD"
"C16","33p","TopLayer","CAP_1206/3216","12.3190","47.8790","180","Bipolar ceramic capacitor SMD"
"C15","100n","TopLayer","CAP_1206/3216","12.3190","45.3390","180","Bipolar ceramic capacitor SMD"
"C13","1u","TopLayer","SMT_C_Tantalum_A","11.8110","42.7990","180","Tantalum Capacitor,TAJ Series-SMD"
"C11","100u","TopLayer","SMT_C_Tantalum_C","10.4140","37.0840","180","Tantalum Capacitor,TAJ Series-SMD"
